Time,Open,High,Low,Close,Dummy,ContractMonth
2025/04/03 15:35:00,34795.0,34800.0,34780.0,34795.0,real,202506
2025/04/03 15:36:00,34795.0,34810.0,34785.0,34800.0,real,202506
2025/04/03 15:37:00,34800.0,34815.0,34795.0,34805.0,real,202506
2025/04/03 15:38:00,34805.0,34810.0,34790.0,34795.0,real,202506
2025/04/03 15:39:00,34805.0,34805.0,34790.0,34805.0,real,202506
2025/04/03 15:40:00,34800.0,34800.0,34800.0,34800.0,dummy,dummy
2025/04/03 15:41:00,34800.0,34800.0,34800.0,34800.0,dummy,dummy
2025/04/03 15:42:00,34800.0,34800.0,34800.0,34800.0,dummy,dummy
2025/04/03 15:43:00,34800.0,34800.0,34800.0,34800.0,dummy,dummy
2025/04/03 15:44:00,34800.0,34800.0,34800.0,34800.0,dummy,dummy
2025/04/03 15:45:00,34835.0,34835.0,34835.0,34835.0,real,202506
