[2025/04/04 14:03:56] [MOCK WS] 接続: ws://localhost:9000
[2025/04/04 14:03:56] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:00, minute=2025-04-03 15:35:00
[2025/04/04 14:03:56] [INFO] 2025/04/03 15:35:00 に fill_missing_minutes を呼び出します。
[2025/04/04 14:03:56] [DEBUG] fill_missing_minutes() 呼び出し
[2025/04/04 14:03:56] [DEBUG] last_ohlc.ohlc_time = 2025-04-03 15:35:00
[2025/04/04 14:03:56] [DEBUG] current_minute = 2025-04-03 15:35:00
[2025/04/04 14:03:56] [DEBUG] self.last_written_minute = None
[2025/04/04 14:03:56] [DEBUG][fill_missing_minutes] 補完不要: now=2025-04-03 15:35:00, current=2025-04-03 15:35:00, last_written_minute=None
[2025/04/04 14:03:56] [警告] 対象CSVファイルが見つかりませんでした
[2025/04/04 14:03:56] [DEBUG] dfはNoneまたは空でした
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:13, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:09] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:14, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34780.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:10] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:15, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:11] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:16, minute=2025-04-03 15:35:00
[2025/04/04 14:04:12] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:17, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:17, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:17, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:17, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:13] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:14] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:18, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:20, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:20, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:21, minute=2025-04-03 15:35:00
[2025/04/04 14:04:15] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:21, minute=2025-04-03 15:35:00
